countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
TAJIKISTAN,0.03,0.02,0.01,0.02,0.07,0.01,,0.01,0.0,0.1,0.07,0.15,0.01,0.0,0.01,0.01,0.06,0.0,,,0.0,,,,,
UNSPECIFIED,,,0.02,0.01,0.0,0.02,0.05,0.02,,,0.06,0.21,0.01,0.2,,,0.11,,0.17,0.15,0.0,0.01,,,,
MAYOTTE,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
CUBA,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
GIBRALTAR,,,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,,,,,,,
MACAO,,,,0.0,,,0.0,,,,,0.0,,0.03,,,,,,0.09,,,0.01,0.04,,
EL SALVADOR,,,,,0.02,,,,,,,0.1,,0.0,,,,,0.01,,,,,,,
KOREA DP RP,,,,,0.0,,0.0,0.02,,0.0,,0.12,0.0,,0.0,,,,0.01,,,,0.01,,,
PITCAIRN IS.,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
TIMOR LESTE,,,,,0.01,0.06,,,,,,0.07,,,,,0.01,,,,,,,,,
SYRIA,,,,,,0.03,0.02,0.02,0.0,,0.01,0.06,0.07,0.04,0.07,0.01,0.01,0.0,0.05,0.1,0.0,0.0,0.03,0.01,0.0,
TUNISIA,,,,,,0.03,,,,,0.0,,0.07,,,,,,0.0,0.19,,,,,,
BAHAMAS,,,,,,,0.0,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,
MONTENEGRO,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
ANDORRA,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,
ERITREA,,,,,,,,,0.06,0.0,0.04,0.02,0.02,0.02,0.01,0.0,,0.01,0.01,0.04,,,,,,
SAO TOME,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
UNION OF SERBIA &amp; MONTENEGRO,,,,,,,,,,0.02,0.03,0.01,0.01,0.0,,,0.01,,0.0,0.01,0.0,,,,,
FR POLYNESIA,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
NEUTRAL ZONE,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
TURKS C IS,,,,,,,,,,,,0.0,,,,,,,,,,0.04,,,,
KIRIBATI REP,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,
MARSHALL ISLAND,,,,,,,,,,,,,,0.04,,,,0.0,,,,,,,,
TUVALU,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
VIRGIN IS US,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,
PANAMA C Z,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.08,0.01,,,
NICARAGUA,,,0.03,0.01,,0.01,0.03,,,0.01,0.0,,0.02,0.02,0.0,,0.02,,,,,,,,,
ARUBA,,,,0.01,0.0,,,,,,,,,,,,,,,,,,,,,
